"","predNumber","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","Month.13"
"45",227,0.227972552962421,0.158909394760976,0.234549996600654,0.0380488679084479,0.112045108838567,0.296213530709087,0.294569169799528,0.29292480888997,0.291280447980412,0.290458267525633,0.288813906616075,0.287169545706517
"46",326,0.0497478991596638,0.0343977591036413,0.0253221288515405,0.0358823529411764,0.0477591036414565,0.0669187675070027,0.0688515406162464,0.0707282913165266,0.0726890756302521,0.0746218487394956,0.0763865546218486,0.0783193277310924
"47",425,0.0184,0.0137142857142857,0.00208000000000002,0.0155885714285715,0.0304914285714286,0.0486857142857143,0.0507428571428571,0.0527542857142857,0.0548114285714286,0.0568685714285714,0.0587200000000001,0.0607771428571428
"48",524,0.0310184049079755,0.0672147239263803,0.0541226993865031,0.0293742331288344,0.0457423312883435,0.0439018404907976,0.0472760736196318,0.0505276073619631,0.0539018404907976,0.057276073619632,0.0603190184049079,0.0636932515337424
"49",623,0.0624883645657754,0.053429559914098,0.0625818991066845,0.0835189494765125,0.0103709440492049,0.0258646059884881,0.10201701018094,0.109917266583292,0.0451237170949186,0.00565754536907786,0.0383452881883224,0.0654241106732237
"50",722,1.03350269027022,1.46903766378303,1.35177824783727,1.39365661067504,1.20939181418885,0.966497309729783,0.958121637162229,0.958121637162229,0.949745964594675,0.941370292027121,0.941370292027121,0.932994619459567
"51",821,0.016613785619314,0.00412634162717826,0.0228575076153818,0.0603198395917889,0.0291012296114497,0.0291012296114497,0.0291012296114497,0.0291012296114497,0.0322230906094836,0.0322230906094836,0.0322230906094836,0.0322230906094836
"52",920,0.252618035902045,0.279172977013808,0.897200370402501,1.15590951182102,0.868454910244888,1.06967313134818,1.1127913215846,1.15590951182102,1.19902770205744,1.25651862237267,1.29963681260909,1.34275500284551
"53",1019,0.0360689205167878,0.0467495972977653,0.0253882437358104,0.0654407816644758,0.0547601048834983,0.0467495972977653,0.0467495972977653,0.0494197664930096,0.0494197664930096,0.0494197664930096,0.052089935688254,0.052089935688254
"54",1118,0.0186249441596694,0.0110421281981831,0.0173611414994217,0.016761530327267,0.00159589840429425,0.0218167409682579,0.0256081489490011,0.0281357542694966,0.0319271622502398,0.035718570230983,0.0382461755514784,0.0420375835322216
"55",53,0.0156990471383378,0.0170921448857439,0.0178660880787472,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958
"56",647,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622,0.224806516342622
"57",30,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958,0.0152501600863958
"58",624,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349
"59",822,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712,0.00476320127077712
"60",921,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612,0.498751038501612
"61",1020,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724,0.025099865462724
"62",328,0,0.00112044817927188,0.00616246498599456,0.0134453781512606,0.0210084033613445,0.0282913165266108,0.034733893557423,0.0403361344537816,0.0453781512605043,0.0498599439775911,0.0526610644257704,0.0557422969187676
"63",427,0.00114285714285708,0,0.00480000000000002,0.0116571428571428,0.0192000000000001,0.0262857142857143,0.0324571428571429,0.0379428571428571,0.0427428571428571,0.0466285714285714,0.0498285714285714,0.0525714285714285
"64",57,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054,0.0152494051822054
"65",156,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182,0.242498768500182
"66",255,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269,0.202484958864269
"67",32,0.00634595077116976,0.0014824917463366,0.0201879176577572,0.0434062134478578,0.0341188951318175,0.0248315768157773,0.0201879176577572,0.0170921448857439,0.00935271295571023,0.00161328102567674,0.00935271295571023,0.00625694018369689
"68",36,0.0137453306368341,0.0230947335922966,0.0180567200388682,0.017391935032115,0.0138847178058941,0.0098710442276854,0.00718724962110549,0.00818587935824246,0.00835059149646378,0.00554957050063514,0.00350440982468274,0.0032863465316062
"69",39,0.218805423644123,0.322705130263883,0.329141396645537,0.335577663027191,0.342013929408846,0.302476886605631,0.262939843802416,0.223402646210563,0.211449557960542,0.199496469710521,0.187543536249139,0.180187670565558
"70",41,0.0323790199084839,0.0215860132207264,0.0323790199084839,0.0431720264414528,0.0539650329744217,0.0647580396621792,0.0755510461951481,0.0755510461951481,0.0539650329744217,0.0431720264414528,0.0323790199084839,0.0226397828502261
"71",649,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306,0.0607054728060306
