"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"53","Lotus","easian",-0.18,-0.2,-0.2,-0.23,-0.21,-0.2,0.0391969476666667,0.662566753323749,"Intuition/Theory",2,0
"54","Mr Muddle","easian",-0.2,-0.2,-0.2,-0.15,-0.13,-0.15,0.0442843986666667,0.748562630360629,"Intuition/Theory",2,1
"55","Team Social Psychological Skill","easian",-0.167350151497209,-0.152601199229394,-0.14133485253374,-0.126691679811467,-0.121885988666133,-0.106264578666151,0.0453093710091157,0.765888280382112,"Hybrid",2,0
"56","Erebuni","easian",-0.15,-0.15,-0.14,-0.13,-0.12,-0.12,0.045463713,0.768497204747126,"Intuition/Theory",2,0
"57","Broken Mirror Neurons","easian",-0.13,-0.15,-0.14,-0.14,-0.13,-0.12,0.045463713,0.768497204747126,"Intuition/Theory",2,1
"58","The Well-Adjusted R Squares","easian",-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.0502218583333333,0.848926653799104,"Hybrid",1,0
"59","Tosbik","easian",-0.16,-0.18,-0.15,-0.13,-0.11,-0.09,0.0537970463333333,0.909359948907347,"Intuition/Theory",2,0
"60","FrostNova","easian",-0.15,-0.14,-0.13,-0.1,-0.09,-0.09,0.060463713,1.02205014423552,"Intuition/Theory",2,0
"61","Dragon","easian",-0.14,-0.13,-0.12,-0.11,-0.1,-0.09,0.0614852083333333,1.03931702053155,"Intuition/Theory",2,0
"62","TAPE-Measurement","easian",-0.148445958,-0.124445958,-0.100445958,-0.101445958,-0.102445958,-0.103445958,0.0630392503333333,1.06558581501078,"Hybrid",2,0
"63","Nigel Mantou Lou","easian",-0.05750259,-0.190814217,-0.24673277,-0.192364332,-0.148867867,-0.174971173,0.0649478488333333,1.09784786567599,"Intuition/Theory",2,0
"64","scaled-humanity","easian",-0.1100324,-0.1141,-0.08822552,-0.0927141,-0.09593974,-0.1004283,0.0762451983333333,1.28881294395284,"Data-Driven",2,0
"65","Team42","easian",-0.15,-0.08,-0.13,-0.09,-0.05,-0.02,0.0898185416666667,1.5182503506763,"Hybrid",2,0
"66","Team Blue Skies","easian",-0.0856510255909784,-0.0856510255909784,-0.0839843589243117,-0.0839843589243117,-0.082317692257645,-0.082317692257645,0.0925008494090216,1.56359081818874,"Intuition/Theory",2,0
"67","Cynical Belief in the Inexorable Crush of the Wheel","easian",-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,0.116485208333333,1.96901113198901,"Data-Driven",2,1
"68","Average Joes","easian",-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,0.116485208333333,1.96901113198901,"Data-Driven",2,1
