"","team_name","domain","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w1","MASE1_w1","Method.code"
"40","Tosbik","easian",0.13,0.14,0.14,0.12,0.13,0.11,0.1,0.09,0.06,0.03,0.01,0.01,0.271258964,4.508570026,"Intuition/Theory"
"41","md2000","easian",0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.05,0.05,0.290425631,4.827137411,"Intuition/Theory"
"42","CheeseCake","easian",0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.1,0.291258964,4.840988167,"Intuition/Theory"
"43","polarization-2020CO","easian",0.18,0.18,0.16,0.17,0.13,0.1,0.11,0.09,0.07,0.08,0.07,0.07,0.299592297,4.979495726,"Intuition/Theory"
"44","Imielin","easian",0.14,0.13,0.14,0.13,0.13,0.14,0.15,0.14,0.13,0.14,0.14,0.13,0.318758964,5.298063111,"Intuition/Theory"
"45","Broken Mirror Neurons","easian",0.25,0.26,0.24,0.2,0.14,0.21,0.2,0.16,0.15,0.06,0.04,0.05,0.345425631,5.741287299,"Intuition/Theory"
"46","NYHC","easian",0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.347092297,5.768988811,"Intuition/Theory"
"47","Mr Muddle","easian",0.2,0.25,0.28,0.29,0.25,0.3,0.32,0.25,0.22,0.2,0.18,0.15,0.422925631,7.029407595,"Intuition/Theory"
"48","Turing Tesla Solutions","easian",0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.457092297,7.597288586,"Data-Driven"
"49","fearfulastra","egend",0.806,0.8,0.805,0.778,0.79,0.774,0.771,0.769,0.766,0.763,0.761,0.758,0.021990619,0.523376484,"Data-Driven"
"50","WQXZ","egend",0.79581,0.80758,0.80668,0.79285,0.78901,0.7767,0.75991,0.75117,0.76109,0.77063,0.78902,0.78173,0.022168068,0.527599748,"Data-Driven"
"51","BRTWN","egend",0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.023213577,0.552482858,"Data-Driven"
"52","Team29","egend",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.025273284,0.60150386,"Intuition/Theory"
"53","MLTS","egend",0.782773725,0.781474352,0.78017498,0.778875607,0.777576235,0.776276862,0.77497749,0.773678117,0.772378745,0.771079372,0.76978,0.768480627,0.026775888,0.637265809,"Data-Driven"
"54","Bordeaux","egend",0.787,0.786,0.784,0.776,0.783,0.774,0.771,0.77,0.769,0.767,0.783,0.766,0.026980149,0.642127223,"Data-Driven"
